# airbearing_log schema_version=1 units=SI
# example hardware-shaped log (synthetic mocap noise)
# same trajectory family as sim.csv + 1-step delay + Gaussian pose noise; not a floor recording
t,x,y,yaw,vx,vy,omega
1.25,-0.237142,0.045841,-0.004507,0.163243,0.074681,-0.029628
1.3,-0.228003,0.054819,0.002329,0.152726,0.091693,0.036397
1.35,-0.22158,0.054628,-0.004593,0.181605,0.086099,-0.013756
1.4,-0.213577,0.054981,-0.008556,0.176857,0.086817,-0.009882
1.45,-0.19959,0.067503,-0.006766,0.166851,0.053992,-0.003578
1.5,-0.187308,0.069291,0.010496,0.189062,0.082039,-0.028906
1.55,-0.180599,0.078324,0.000354,0.208131,0.092187,0.025983
1.6,-0.171631,0.076488,-0.00934,0.220231,0.105902,0.009854
1.65,-0.157445,0.079216,6.7e-05,0.222219,0.109277,-0.015029
1.7,-0.145148,0.080657,-0.012448,0.2284,0.104739,-0.005542
1.75,-0.1366,0.093372,0.014317,0.241118,0.073953,-0.030327
1.8,-0.122066,0.101509,-0.012196,0.240561,0.061618,-0.006955
1.85,-0.108171,0.095737,0.00383,0.264827,0.094769,0.018724
1.9,-0.099221,0.100659,0.004349,0.260057,0.088028,-0.034306
1.95,-0.087841,0.108689,-0.0116,0.269219,0.098866,-0.008725
2.0,-0.070857,0.108809,0.002402,0.279325,0.085272,0.002936
2.05,-0.057357,0.114788,0.007977,0.266922,0.088741,0.020965
2.1,-0.040604,0.11885,0.003741,0.277428,0.067283,0.026987
2.15,-0.033254,0.124676,0.002088,0.310116,0.089701,-0.009145
2.2,-0.016685,0.131584,0.007593,0.301096,0.077896,-0.014806
2.25,-0.002215,0.132466,0.001287,0.298417,0.086218,0.009008
2.3,0.010298,0.139257,0.002691,0.310059,0.086192,-0.007265
2.35,0.031279,0.13924,-0.001014,0.303739,0.077817,-0.0062
2.4,0.048083,0.145383,0.005054,0.315816,0.081459,0.021604
2.45,0.059984,0.141785,-0.007531,0.306832,0.075822,0.033795
2.5,0.082157,0.14765,0.006334,0.319881,0.083324,0.005317
2.55,0.096366,0.157988,-0.004042,0.298783,0.078367,-0.003844
2.6,0.111682,0.15743,-0.008725,0.334241,0.063824,0.011425
2.65,0.126905,0.16444,0.002922,0.312085,0.061297,-0.03775
2.7,0.144467,0.167627,0.013544,0.298663,0.08716,-0.000365
2.75,0.153404,0.173267,0.007693,0.313788,0.062827,-0.021212
2.8,0.175042,0.174836,-0.004125,0.310312,0.073693,0.047789
2.85,0.190708,0.178451,0.005584,0.31435,0.064197,0.014404
2.9,0.199097,0.177965,-0.003634,0.296019,0.050336,0.002827
2.95,0.220841,0.179005,-0.000992,0.311272,0.045699,-0.003887
3.0,0.234249,0.181605,0.000716,0.346242,0.053665,-0.050299
3.05,0.252345,0.184836,-0.018538,0.283206,0.052803,0.014256
3.1,0.263483,0.185311,0.001533,0.297946,0.054561,0.032587
3.15,0.279345,0.189358,-0.008237,0.28508,0.029425,-0.014576
3.2,0.294629,0.192822,-0.005579,0.285625,0.03491,0.013668
3.25,0.304971,0.195955,-0.011795,0.255687,0.038309,0.014451
3.3,0.323096,0.196083,-0.012132,0.257361,0.056046,-0.030963
3.35,0.334385,0.193029,-0.007546,0.270084,0.005898,0.018715
3.4,0.349177,0.200283,0.006605,0.257186,0.036871,0.027096
3.45,0.358834,0.202676,0.013328,0.270099,0.022506,0.00457
3.5,0.375959,0.206553,-0.000202,0.23466,0.031556,-0.001264
3.55,0.386416,0.206334,0.008734,0.237713,0.017882,0.015759
3.6,0.395666,0.203769,-0.002112,0.262975,0.025583,-0.030815
3.65,0.409196,0.204529,-0.015296,0.211153,0.037429,0.001866
3.7,0.421879,0.213532,0.001199,0.201759,0.020374,0.021087
3.75,0.433874,0.21057,0.003565,0.204409,0.018824,-0.024849
3.8,0.433779,0.214394,-0.003429,0.196491,0.015631,0.019851
3.85,0.450749,0.215688,0.002418,0.19933,-0.000276,-0.008365
3.9,0.458795,0.207246,0.00458,0.182916,0.012856,-0.041617
3.95,0.465918,0.211156,-0.006907,0.164431,0.001496,-0.002115
4.0,0.47158,0.211475,-0.011815,0.168194,-0.00804,-0.019438
